Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Finance 1st Paper,1,Dhaka Board,Board,"Mr. 'P' had been saving money for a long time for the purpose of investment. He sought advice from his businessman friend 'Q' on investing his accumulated funds. His friend advised him to invest in multiple projects. However, in the hope of higher profits, 'P' invested his entire capital into a single project and faced heavy financial losses.",What is finance?,"""Excess liquidity reduces profitability"" - Explain.",Explain the principle of finance that Mr. 'P's friend advised him to follow.,Analyze the logical justification of the multi-project investment principle compared to the principle adopted by Mr. 'P' in finance.,"Finance is the process and mechanism of sourcing, allocating, and managing funds efficiently for an organization or individual.","Liquid assets or cash do not generate any direct profit on their own. If a business keeps a large portion of its total assets idle in the form of cash or liquid assets to meet short-term liabilities, those funds remain unproductive instead of being invested in profitable avenues.


Therefore, a lack of investment leads to a direct drop in earnings. This creates an inverse relationship where maintaining overly high liquidity directly minimizes the company's overall capacity to earn profits.","The principle that Mr. 'P'’s friend advised him to follow is the ""Principle of Risk Diversification"" or the ""Portfolio Principle"" in finance.


According to this principle, an investor should never invest all of their capital into a single asset or project. Instead, the total fund should be distributed across various diverse assets or independent projects so that if one project suffers a loss, it can be compensated for by profits earned from another.


In the stem, the businessman friend 'Q' correctly understood this financial concept. He suggested that 'P' spread out his accumulated funds across multiple projects to neutralize unexpected business risks, which is the exact essence of risk diversification.","Introduction: Investing in multiple projects (Risk Diversification) is highly logical and superior to investing in a single project, as it ensures long-term business survival and stability.


Risk Distribution and Compensation: When capital is allocated across different projects, the total business risk is fragmented. If one project fails due to market volatility, the positive cash flows from the successful projects offset the financial damage, safeguarding the total capital from disappearing.


Flaw in Mr. P's Strategy: Mr. 'P' acted out of pure greed for higher returns and ignored his friend's expert advice. By centralizing his entire capital into a single project, he exposed his business to unsystematic risk, leaving no alternative revenue source to salvage his financial position when that single project failed.


Conclusion: Therefore, the policy of diversifying investments across multiple projects is completely justified. It balances the trade-off between risk and return, preventing complete financial bankruptcy, which Mr. 'P' unfortunately suffered."
2025,Finance 1st Paper,1,Dhaka Board,Board,"Shapla Group has been operating its business as a well-reputed company in Bangladesh. Recently, due to the hike in commodity prices, their sales decreased, and spending extra money to pay employee salaries increased the firm's financial risk. Later, investments were increased to produce new products according to consumer demands. Due to taking initiatives for business expansion, the demand for the company's products increased, and it successfully achieved its targeted profits. Furthermore, the market selling price of the company's shares became significantly higher than their face value (written value).",What is business ethics?,Why does business risk decrease profitability? Explain.,"Which principle of finance did Shapla Group fail to follow initially, causing its financial risk to increase? Explain.",The company has succeeded in achieving its ultimate objective—Do you agree? Give arguments in favor of your answer in light of the stem.,"Business ethics refers to the moral principles, values, and standards that govern the conduct and decisions of individuals and organizations in the business world.","Business risk arises from the regular operational expenses of running a firm, such as rent, raw material costs, and labor wages. When a firm's sales revenues fall below its fixed operational expenses, it struggles to meet these basic day-to-day liabilities.


When sales plummet—as seen during high inflation—the fixed costs remain constant, forcing the company to drain its reserves to stay afloat. This structural gap directly reduces net operational income and erodes the overall profit-earning capacity of the enterprise.","Shapla Group initially failed to follow the ""Principle of Maintaining Balance between Liquidity and Profitability.""


This principle dictates that a business must maintain an optimal balance between liquid cash to meet current obligations and long-term investments to generate wealth. Over-committing funds to either side without proper forecasting creates severe operational imbalances.


In the stem, when commodity prices skyrocketed and sales fell, Shapla Group had to spend massive chunks of cash unexpectedly on salaries without incoming revenue. Because they lacked a proper liquidity safety cushion, their financial risk spiked dramatically.","Introduction: Yes, I fully agree with the statement that Shapla Group has successfully achieved its ultimate objective, which is the maximization of shareholder wealth.


Concept of Wealth Maximization: In modern corporate finance, the primary and ultimate goal of a company is wealth maximization, which is directly reflected through the rise of the market price of the company's common stock. Profit maximization is merely a short-term goal, whereas wealth maximization considers time value, risk factors, and long-term sustainability.


Analysis of Shapla Group's Success: Although the company faced initial crises, its management strategically invested capital to innovate new products and expand operations. This market adjustment boosted consumer demand, increased profits, and ultimately caused the market value of their shares to far exceed the written face value.


Conclusion: Since the market price of the shares has significantly risen above the face value, the wealth of the shareholders has been maximized. Therefore, it is proven that Shapla Group has successfully achieved the ultimate objective of financial management."
2025,Finance 1st Paper,1,Rajshahi Board,Board,"Mr. Taki and Mr. Tariqul Islam are two friends. They decided to invest their capital in the capital market. Mr. Taki purchased shares worth BDT 15 lakhs entirely from Alpha Co. Ltd. On the other hand, Mr. Tariqul Islam purchased shares worth BDT 5 lakhs each from Alpha Co. Ltd., Golap Co. Ltd., and Palash Co. Ltd., investing a total of BDT 15 lakhs. At the end of the year, it was found that Alpha Co. Ltd. failed to make any profit.",What is international finance?,Is corporate social responsibility practiced solely to increase business reputation?,Which principle of finance did Mr. Tariqul Islam follow? Explain.,"Between Mr. Taki and Mr. Tariqul Islam, who made the better investment decision? Explain with logical arguments.","International finance is the branch of financial economics that deals with the management of monetary flows, foreign exchange rates, cross-border investments, and global trade between nations.","No, corporate social responsibility (CSR) is not practiced solely for reputation; it is also done to ensure the long-term sustainability of the business, ecosystem, and society. By actively contributing to welfare activities like education, healthcare, and environmental protection, a company builds strong institutional bonds with the community.


While a positive brand image is a natural byproduct, true CSR creates a stable, conflict-free operating environment. It minimizes regulatory hurdles and secures consumer loyalty, which protects the business's long-term commercial survival.","Mr. Tariqul Islam followed the financial principle known as the ""Principle of Risk Diversification"" (or Portfolio Principle).


This foundational financial rule suggests that investors should mitigate potential losses by avoiding putting all their financial eggs into one basket. By splitting capital across different corporate entities, the risks tied to individual businesses are successfully decentralized.


In this case, instead of sinking his entire BDT 15 lakhs into Alpha Co. Ltd., Mr. Tariqul divided his capital equally among three distinct companies. This diversified portfolio structure ensured that his entire investment was not tied to the performance of a single management team.","Introduction: Mr. Tariqul Islam made the significantly better and more rational investment decision compared to Mr. Taki.


Portfolio Diversification vs. Monopolized Investment: Mr. Tariqul applied scientific financial planning by diversifying his BDT 15 lakhs across three different corporate avenues. Conversely, Mr. Taki made a highly speculative and risky move by committing his entire fortune to just one company, Alpha Co. Ltd.


Impact of the Financial Outcome: At the end of the year, Alpha Co. Ltd. failed to yield any profits, meaning Mr. Taki's entire investment stagnated or lost value, generating zero returns. However, because Mr. Tariqul spread his capital, his losses in Alpha Co. Ltd. were cushioned by the potential profits generated by Golap Co. Ltd. and Palash Co. Ltd.


Conclusion: Financial management rewards risk mitigation over blind speculation. By utilizing a portfolio approach, Mr. Tariqul secured his principal amount against total failure, making his investment strategy undeniably superior and more successful."
2025,Finance 1st Paper,1,Jessore Board,Board,"Mr. Rony is the financial manager of Sami Ltd. To modernize the accounting system of the production department from traditional to advanced, he took a 10-year bank loan at a 12% interest rate to install new machinery. At the end of the year, the profit amount increased, making the shareholders very happy. However, Sami Ltd. declared only 15% of its earnings per share (EPS) as dividends.",What is the portfolio principle?,What is the relationship between money and finance?,Which type of financial activity did Mr. Rony perform? Explain.,Which objective of finance is reflected in the dividend distribution of Sami Ltd.? Give arguments in favor of your answer.,The portfolio principle is an investment rule that states a firm or individual should split their total capital across multiple diverse assets or projects to minimize overall risk.,"Money is the medium of exchange, store of value, and unit of account used to facilitate transactions, whereas finance is the broader systemic process of planning, sourcing, allocating, and managing that money.


In simple terms, money acts as the raw material or physical resource, while finance represents the operational framework and strategic decisions required to maximize the efficiency, growth, and utilization of that resource.","Mr. Rony performed the long-term ""Financing Decision"" (or sourcing of funds activity) as a financial manager.


Financing decisions involve identifying the total fund requirements of an organization, choosing the best mix of debt and equity (capital structure), and acquiring those funds from external sources under the most favorable terms.


In the stem, Mr. Rony needed to fund the installation of advanced automated machinery for the production department. To execute this, he strategically acquired a long-term resource by securing a 10-year bank loan at a fixed 12% interest rate, which is a classic operational example of a financing function.","Introduction: The dividend distribution policy of Sami Ltd. reflects the ultimate financial objective known as ""Wealth Maximization"" rather than temporary profit maximization.


Wealth Maximization Concept: Wealth maximization is focused on increasing the market value of the company's shares over time by maintaining financial stability, reinvesting earnings, and ensuring sustainable growth, which creates long-term value for shareholders.


Justification of Retained Earnings: By distributing only 15% of the earnings per share (EPS) as cash dividends, the company intentionally retained 85% of its profits as ploughed-back capital. This retained cushion strengthens the firm’s financial structure, allows them to pay off the 12% bank loan faster, and funds future expansion without incurring high external debt costs.


Conclusion: Although the shareholders might have desired higher immediate cash payouts, retaining the majority of the profits protects the firm’s solvency, fuels asset growth, and will eventually drive up share prices, completely validating that wealth maximization was the primary objective."
2025,Finance 1st Paper,1,Jessore Board,Board,"Mr. A and Mr. B both operate wholesale businesses. Mr. A runs a clothing business. Mr. B runs both a clothing and a shoe business simultaneously. Mr. B believes that if one business suffers a loss, it can be compensated for or recovered by the profits of the other business. To chase higher profits, Mr. A invested his entire capital, keeping only a negligible amount of cash on hand.",What is profit maximization?,What is meant by liquidity? Explain.,Which principle of finance did Mr. B follow? Explain.,What impact can Mr. A's investment decision have on his business? Analyze.,Profit maximization is the short-term financial goal of an enterprise aimed at yielding the highest possible amount of net monetary profit within a specific financial period.,"Liquidity refers to a business organization's financial capacity to convert its assets into cash quickly, easily, and without losing value, primarily to meet its immediate, day-to-day operational liabilities.


Maintaining proper liquidity ensures that a business can comfortably pay its suppliers, clear utility bills, and handle urgent cash demands, protecting the firm from technical insolvency or operational paralysis.","Mr. B followed the financial guideline known as the ""Principle of Risk Diversification"" (or Portfolio Principle).


This principle states that instead of investing all available capital into a single business venture or financial asset, an investor should diversify and allocate funds across various independent projects or sectors to neutralize volatile operational risks.


In the stem, Mr. B did not limit his operations to just one industry. By managing both a clothing business and a shoe business concurrently, he ensured that any unexpected market downturn or financial loss in one segment could be easily neutralized and compensated for by the positive returns of the other.","Introduction: Mr. A’s aggressive investment decision exposes his business to severe ""Illiquidity Risk"" and potential bankruptcy, despite his ambition for high returns.


The Liquidity-Profitability Trade-off: Finance operates on a strict trade-off where higher investment yields higher profits, but keeping zero cash reserves completely destroys the company's short-term solvency.


Operational Risk Exposure: Because Mr. A kept almost no liquid cash on hand, his daily operations will face severe bottlenecks; he will struggle to pay immediate creditors, purchase emergency inventory, or manage unexpected daily operational overheads.


Conclusion: While his fully invested capital might generate higher accounting profits on paper, the lack of a cash buffer means even a small delay in revenue collection could render his business technically insolvent, proving his decision to be highly reckless."
2025,Finance 1st Paper,1,Comilla Board,Board,"Rahat Company Ltd. is a leather processing factory located on the banks of the Buriganga River. During processing, its chemical waste and contaminated water are dumped directly into the river, polluting the water, air, and surrounding soil. To remedy this, the company authority has decided to purchase a water purification treatment plant (ETP). The machine requires an investment of BDT 5 crores, and its useful life span is 15 years.",What is finance?,What is meant by wealth maximization?,Under which financial function does the purchase of the water purification machine fall? Explain.,Which concept of finance is Rahat Company Ltd.'s investment decision associated with? Analyze.,"Finance is the organizational process and discipline concerned with the efficient planning, sourcing, allocation, and monitoring of monetary funds.","Wealth Maximization means maximizing the total present value of an enterprise, which is directly measured by the increase in the market price of the company's common stock over the long term.


Unlike profit maximization, it integrates the time value of money, accounts for cash flows instead of accounting profits, and properly evaluates the degree of risk associated with corporate decisions.","The purchase of the water purification machine falls under the long-term ""Investment Decision"" (or Capital Budgeting function) of corporate finance.


Investment decisions involve the strategic allocation of a firm’s financial capital into long-term fixed assets or projects that are expected to yield cash flows or societal returns over a series of future years.


In the stem, purchasing the industrial purification machine requires a massive capital outlay of BDT 5 crores, and its benefits will extend over a long timeline of 15 years, qualifying it explicitly as a capital budgeting or investment action.","Introduction: Rahat Company Ltd.’s investment decision is deeply associated with the modern financial concept of ""Corporate Social Responsibility (CSR)"" and Environmental Ethics.


Modern Business Approach: Modern financial management dictates that a company cannot operate in a vacuum; it must balance economic goals with social welfare to ensure long-term sustainability and brand value.


Mitigation of Social Costs: By discharging toxic chemicals into the Buriganga River, the firm was imposing massive negative externalities on the local ecosystem and community. Spending BDT 5 crores on a treatment plant helps internalize and fix those social costs, avoiding legal penalties, government closures, and public boycotts.


Conclusion: Therefore, this investment is completely aligned with social responsibility; it secures the community's environmental safety while organically elevating the firm's long-term corporate reputation and market value."
2025,Finance 1st Paper,1,Comilla Board,Board,"Northway Company is involved in the mobile phone business in the global market. The company adopted a comprehensive long-term plan to enter the Bangladeshi market. They initiated their operations following all proper legal regulations. However, while implementing this new expansion plan, the company faced a sudden, severe financial crisis. Consequently, they made the strategic decision to issue and sell new shares in the market.",What is business value?,What is meant by social responsibility?,What type of financial decision is Northway Company's share issuance? Explain.,Is Northway Company's decision to sell shares justified and appropriate? Give your opinion.,"Business values are the core beliefs, moral codes, and behavioral guidelines that an organization follows to guide its internal practices and external dealings.","Social responsibility refers to the voluntary obligation of a business enterprise to conduct its commercial operations in a way that positively impacts, protects, and upgrades the welfare of society as a whole.


It demands that corporations actively look beyond short-term profit metrics to address environmental conservation, consumer safety, ethical employment, and community development.","Northway Company's decision to issue and sell shares falls under the ""Financing Decision"" (or sourcing of long-term funds function) in financial management.


Financing decisions are concerned with determining the exact asset-acquisition budget, choosing the ideal combination of debt and equity capital, and selecting appropriate financial instruments to raise capital.


Since Northway Company is dealing with a severe capital deficit due to a long-term cross-border market entry strategy, opting to generate permanent capital by selling equity shares directly constitutes a strategic financing function.","Introduction: Yes, Northway Company's decision to sell new shares to mitigate its financial crisis is highly justified, appropriate, and financially sound.


Advantage of Equity over Debt: Issuing common stock creates equity capital, which carries no fixed mandatory interest payment obligations or strict legal redemption deadlines, giving the expanding firm immense financial breathing room.


Risk Reduction in New Markets: Entering a foreign country like Bangladesh involves massive market uncertainties. If the company had taken bank loans instead, the fixed interest burden would have increased its financial risk and threatened bankruptcy during this initial operational crisis.


Conclusion: By selling shares, the company effectively shared its expansion risks with new investors while permanently solving its cash crunch, making it the most logical strategic choice to safeguard long-term corporate survival."
2025,Finance 1st Paper,1,Comilla Board,Board,"Mr. Haque started his business with a starting capital of BDT 10 crores. He preserved and kept 20% of the total funds as cash to run daily business operations. Although this strategy increased his profitability, he is now facing severe difficulties in clearing his immediate liabilities and short-term obligations. To solve this emergency issue, he is exploring alternative financing sources. He is contemplating that if he takes out a loan, it will be impossible to repay it anywhere before the next 10 years.",What is a treasury bill?,"What is meant by the ""Risk-Return Principle""?",Which financial principle has Mr. Haque failed to balance in the stem? Explain.,Which specific source of alternative financing should he choose to resolve his crisis? Analyze.,"A treasury bill is a short-term, zero-coupon debt instrument issued by the central government to borrow money from the public and financial institutions, typically maturing in less than a year.","The risk-return principle states that there is a direct, positive correlation between the level of risk undertaken and the expected rate of return on an investment.


This means that if an investor or business desires a higher potential profit, they must be willing to accept a greater probability of financial loss, while low-risk choices yield lower returns.","Mr. Haque has mismanaged the foundational financial guideline known as the ""Principle of Maintaining Balance between Liquidity and Profitability.""


This principle requires a financial manager to find the sweet spot between holding enough liquid cash to pay off immediate bills and investing the rest to generate a high profit return.


In this case, Mr. Haque allocated too large a portion of his BDT 10 crores into long-term investments to maximize profits, leaving only 20% for operations. Because his cash was tied up, his liquidity dried up, leaving him incapable of meeting urgent short-term debts.","Introduction: To resolve his immediate short-term liquidity crisis, Mr. Haque should prefer ""Short-term or Medium-term Institutional Credit"" rather than a 10-year long-term loan.


Matching Principle Analysis: Finance dictates that short-term asset deficits or operational cash crunches should always be financed through short-term sources to avoid unnecessary interest burdens.


Flaw of a Long-term Loan: Mr. Haque's dilemma is that a 10-year loan cannot be repaid early, which would saddle his business with high, fixed interest expenses for a decade just to fix a temporary, current operational cash mismatch.


Conclusion: Therefore, he should choose alternative options like an unsecured bank overdraft, commercial papers, or a short-term working capital bank loan, which will give him immediate liquidity and can be paid off as soon as his regular cash inflows normalize."
2025,Finance 1st Paper,1,Chittagong Board,Board,"The financial manager of Bindu Ltd., with the explicit objective of mitigating business risks, has taken a strategic expansion decision to venture into the ceramics and packaging industries alongside the company's existing pharmaceutical (medicine) business.",What is finance?,Explain the relationship between liquidity and profitability.,Under which financial function does the financial manager's expansion decision fall? Explain.,How logical and justified is the decision made by the financial manager in light of the principles of finance? Give your opinion with arguments.,"Finance is the systemic branch of business economics that governs the sourcing, budgeting, deploying, and tracking of capital funds across an enterprise.","Liquidity and profitability share a strict, inverse (opposite) relationship in financial management.


If a business hoards excessive liquid cash to secure its solvency, those funds remain idle and miss out on lucrative investment opportunities, causing profitability to drop. Conversely, investing all cash to maximize profits leaves the firm with no liquidity, exposing it to insolvency risk.","The financial manager's expansion decision falls under the ""Investment Decision"" (also known as Capital Budgeting) function of financial management.


Investment decisions involve evaluating and allocating the firm's available resources into long-term projects or new business lines that require heavy capital setup but promise returns over a long future timeline.


In the stem, the manager of Bindu Ltd. decided to deploy capital to establish two entirely new business operations—ceramics and packaging—which represents a long-term capital allocation and asset-diversification investment function.","Introduction: The decision of the financial manager of Bindu Ltd. to expand into ceramics and packaging is highly logical, rational, and fully aligned with the ""Principle of Risk Diversification.""


The Mechanism of Risk Reduction: Risk diversification dictates that a firm should spread its investments into different, uncorrelated sectors so that market shocks hitting one industry do not cripple the entire corporation.


Strategic Market Protection: Pharmaceuticals, ceramics, and packaging operate on entirely different market demands. If the pharmaceutical sector faces strict regulatory blocks or a drop in revenue, the cash flows generated by the ceramics and packaging units can easily protect the firm from overall losses.


Conclusion: By consciously splitting the corporate portfolio into three distinct industries, the manager has minimized unsystematic business risk and stabilized the firm's long-term revenue stream, making the decision exceptionally sound."
2025,Finance 1st Paper,1,Chittagong Board,Board,"Ms. Priti and Ms. Mithi are financial managers working at two completely different types of institutions. Ms. Priti's organization primarily collects its operational funds through various public taxes, revenues, and customs duties. The major portion of this collected fund is then allocated and spent across various large-scale national infrastructure and public development projects. On the other hand, Ms. Mithi's organization is forced to raise funds from diverse financial markets and commercial sources by meticulously evaluating investment risks and financial costs. If her organization encounters a major financial loss, there is a severe probability that the institution will go completely bankrupt and face legal liquidation.",What is corporate social responsibility?,Is there an impact of ethics on business finance? Explain.,Explain the nature and form of finance practiced in Ms. Priti's organization.,"""The nature of finance in Ms. Mithi's organization is comparatively riskier than Ms. Priti's organization"" - Analyze the validity of this statement.","Corporate social responsibility (CSR) is a self-regulating business model that helps a company remain socially accountable to itself, its stakeholders, and the general public.","Yes, ethics plays a massive role in business finance by ensuring transparency, prevention of financial scams, fair asset valuation, and protecting minority shareholder interests.


When a business upholds financial ethics, it builds unwavering trust with investors, reduces capital sourcing costs, avoids expensive government penalties, and secures long-term market stability.","Ms. Priti's organization practices ""Public Finance"" (or Government Finance) which focuses on the macro-level economic management of a nation.


The primary objective of public finance is not commercial profit generation, but rather maximizing social welfare, establishing public infrastructure, and maintaining macroeconomic stability across the country.


In the stem, Ms. Priti’s organization collects money through state mechanisms like corporate taxes, customs duties, and revenues, and allocates it to major development projects (like highways or bridges), which perfectly defines the structure of state-run public finance.","Introduction: The statement is entirely valid; the nature of finance in Ms. Mithi’s corporate organization carries a vastly higher degree of financial risk compared to Ms. Priti's public finance model.


Sourcing and Obligation Differences: Ms. Priti manages government funds raised through state authority (taxes), which do not carry a mandatory repayment obligation or interest penalty. Ms. Mithi, however, operates ""Business Finance,"" where capital must be sourced through costly commercial debt or public shares that require regular dividends or interest payouts.


Threat of Insolvency: Government entities rarely face complete commercial liquidation because they can adjust tax structures or print currency during crises. In contrast, if Ms. Mithi’s private firm suffers a heavy operational loss, it will default on its interest obligations, leading directly to foreclosure, lawsuits, and permanent bankruptcy.


Conclusion: Because private business finance is tied to volatile market competition and carries rigid legal obligations to capital suppliers, Ms. Mithi's financial framework is inherently exposed to extreme operational and financial risks."
